show_id,title,listed_in,description,movie_info
s1,3%,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.","3% international tv shows, tv dramas, tv sci-fi fantasy future elite inhabit island paradise far crowded slums, get one chance join 3% saved squalor."
s2,7:19,"Dramas, International Movies","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.","7:19 dramas, international movies devastating earthquake hit mexico city, trapped survivor walk life wait rescued trying desperately stay alive."
s3,23:59,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.","23:59 horror movies, international movies army recruit found dead, fellow soldier forced confront terrifying secret that's haunting jungle island training camp."
s4,9,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.","9 action adventure, independent movies, sci-fi fantasy postapocalyptic world, rag-doll robot hide fear dangerous machine exterminate them, brave newcomer join group."
s5,21,Dramas,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,21 dramas brilliant group student become card-counting expert intent swindling million las vegas casino playing blackjack.
s6,46,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.","46 international tv shows, tv dramas, tv mysteries genetics professor experiment treatment comatose sister blend medical shamanic cures, unlocks shocking side effect."
s7,122,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.","122 horror movies, international movies awful accident, couple admitted grisly hospital separated must find escape — death find them."
s8,187,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.","187 dramas one high school student attack him, dedicated teacher trevor garfield grows weary gang warfare new york city school system move california teach there, thinking must le hostile environment."
s9,706,"Horror Movies, International Movies","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.","706 horror movies, international movies doctor go missing, psychiatrist wife treat bizarre medical condition psychic patient, know much he's leading on."
s10,1920,"Horror Movies, International Movies, Thrillers",An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,"1920 horror movies, international movies, thrillers architect wife move castle slated become luxury hotel. something inside determined stop renovation."
s11,1922,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.","1922 dramas, thrillers farmer pen confession admitting wife's murder, death beginning macabre tale. based stephen king's novella."
s12,1983,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.","1983 crime tv shows, international tv shows, tv dramas dark alt-history thriller, naïve law student world-weary detective uncover conspiracy tyrannized poland decades."
s13,1994,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.","1994 crime tv shows, docuseries, international tv shows archival video new interview examine mexican politics 1994, year marked rise ezln assassination luis donaldo colosio."
s14,"2,215","Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.","2,215 documentaries, international movies, sports movies intimate documentary follows rock star artiwara kongmalai historic, 2,215-kilometer charity run across thailand 2017."
s15,3022,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.","3022 independent movies, sci-fi fantasy, thrillers stranded earth suddenly destroyed mysterious cataclysm, astronaut aboard marooned space station slowly lose minds."
s16,Oct-01,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.","oct-01 dramas, international movies, thrillers backdrop nigeria's looming independence britain, detective danladi waziri race capture killer terrorizing local women."
s17,Feb-09,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.","feb-09 international tv shows, tv dramas psychology professor face alzheimer's, daughter three close female friend experience romance, marriage, heartbreak tragedy."
s18,22-Jul,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.","22-jul dramas, thrillers devastating terror attack norway, young survivor, grieving family country rally justice healing. based true story."
s19,15-Aug,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.","15-aug comedies, dramas, independent movies india's independence day, zany mishap mumbai chawl disrupts young love story compelling resident unite aid little boy."
s20,'89,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.","'89 sports movies mixing old footage interviews, story arsenal's improbable win versus liverpool final moment 1989 championship game."
s21,​​Kuch Bheege Alfaaz,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.","​​kuch bheege alfaaz dramas, independent movies, international movies accidentally connecting internet, two stranger form tight friendship – knowing already share bond."
s22,​Goli Soda 2,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.","​goli soda 2 action adventure, dramas, international movies taxi driver, gangster athlete struggle better life despite obstacle like crooked politicians, evil don caste barriers."
s23,​Maj Rati ​​Keteki,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.","​maj rati ​​keteki dramas, international movies successful writer return town launched career, encountering people spark nostalgic, often painfully illuminating flashbacks."
s24,​Mayurakshi,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.","​mayurakshi dramas, international movies middle-aged divorcee return kolkata visit ailing father, long-buried memory resurface, bringing new discovery them."
s25,​SAINT SEIYA: Knights of the Zodiac,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.","​saint seiya: knights zodiac anime series, international tv shows seiya knights zodiac rise protect reincarnation goddess athena, dark prophecy hang all."
s26,(T)ERROR,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,(t)error documentaries real-life look fbi counterterrorism operation feature access side sting: government informant radicalized target.
s27,(Un)Well,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?","(un)well reality tv docuseries take deep dive lucrative wellness industry, tout health healing. product live promises?"
s28,#Alive,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.","#alive horror movies, international movies, thrillers grisly virus rampage city, lone man stay locked inside apartment, digitally cut seeking help desperate find way out."
s29,#AnneFrank - Parallel Stories,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.","#annefrank parallel stories documentaries, international movies diary, anne frank's story retold alongside five holocaust survivor poignant documentary oscar winner helen mirren."
s30,#blackAF,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.","#blackaf tv comedies kenya barris family navigate relationships, race culture grappling newfound success comedy series."
s31,#cats_the_mewvie,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.","#cats_the_mewvie documentaries, international movies pawesome documentary explores feline friend became online icons, earliest text meme rise celebrity cat influencers."
s32,#FriendButMarried,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.","#friendbutmarried dramas, international movies, romantic movies pining high school crush years, young man put best effort move friend zone reveals getting married."
s33,#FriendButMarried 2,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.","#friendbutmarried 2 dramas, international movies, romantic movies ayu ditto finally transition best friend newlyweds, quick pregnancy creates uncertainty future young marriage."
s34,#realityhigh,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.","#realityhigh comedies nerdy high schooler dani finally attracts interest longtime crush, land cross hair ex, social medium celebrity."
s35,#Roxy,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,"#roxy comedies, romantic movies teenage hacker huge nose help cool kid woo girl he’s secretly love with."
s36,#Rucker50,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,"#rucker50 documentaries, sports movies documentary celebrates 50th anniversary harlem sport program inspired countless city kid become pro basketball players."
s37,#Selfie,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.","#selfie comedies, dramas, international movies two day final exams, three teen girl make seaside getaway end adolescence bang."
s38,#Selfie 69,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.","#selfie 69 comedies, dramas, international movies painful breakup, trio party-loving friend make bet: get married three days."
s39,แผนร้ายนายเจ้าเล่ห์,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.","แผนร้ายนายเจ้าเล่ห์ international tv shows, romantic tv shows, tv comedies two brother fall two sisters, quickly realize age difference big ignore."
s40,"¡Ay, mi madre!","Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.","¡ay, mi madre! comedies, international movies estranged mother suddenly dies, woman must follow quirky instruction laid order collect important inheritance."
s41,Çarsi Pazar,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,"çarsi pazar comedies, international movies slacker owner public bath house rally community save big developer come town close open new mall."
s42,Ég man þig,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.","ég man þig horror movies, international movies young urbanites renovating rundown house, psychiatrist grieving son's disappearance, connected supernatural, decades-old secret."
s43,Çok Filim Hareketler Bunlar,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.","çok filim hareketler bunlar comedies, international movies vignettes summer holiday follow vacationer battle mosquitoes, suffer ruined plan otherwise hit snag precious time off."
s44,Òlòtūré,"Dramas, International Movies","In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.","òlòtūré dramas, international movies lagos, journalist go undercover prostitute expose human trafficking. find world exploited woman ruthless violence."
s45,Æon Flux,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.","æon flux action adventure, sci-fi fantasy aiming hasten uprising, leader underground rebellion dispatch acrobatic assassin aeon flux eliminate government's top leader."
s46,Şubat,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.","şubat crime tv shows, international tv shows, tv dramas orphan subjected test gave superpower rescued raised istanbul's streets, fall reporter linked past."
s47,1 Chance 2 Dance,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.","1 chance 2 dance dramas, romantic movies aspiring dancer uprooted senior year high school, find torn two boy – one shot dream."
s48,1 Mile to You,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.","1 mile dramas, romantic movies, sports movies escaping bus accident killed girlfriend, high school student channel grief running, help new coach."
s49,10 Days in Sun City,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.","10 days sun city comedies, international movies, romantic movies girlfriend win miss nigeria pageant, young man face unexpected competition join campaign south africa."
s50,10 jours en or,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.","10 jours en comedies, dramas, international movies carefree bachelor unexpectedly left charge young boy, two embark road trip change lives."
s51,"10,000 B.C.",Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,"10,000 b.c. action adventure fierce mammoth hunter d'leh set impossible journey rescue woman love vicious warlord save people village."
s52,100 Days My Prince,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.","100 days prince international tv shows, romantic tv shows, tv dramas upon losing memory, crown prince encounter commoner’s life experience unforgettable love husband joseon’s oldest bachelorette."
s53,100 Days Of Solitude,"Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.","100 days solitude documentaries, international movies spanish photographer josé díaz spends 100 day living alone remote mountain, connecting nature documenting beauty surroundings."
s54,100 Humans,"Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.","100 humans docuseries, science nature tv one hundred hardy soul diverse background participate playful experiment exploring age, sex, happiness aspect human."
s55,100 Meters,"Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.","100 meters dramas, international movies, sports movies man diagnosed multiple sclerosis responds training ironman triathlon, cranky father-in-law's help."
s56,100 Things to do Before High School,Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.","100 things high school movies led seventh-grader c.j., three student warned danger high school decide make best middle-school years."
s57,100 Years: One Woman's Fight for Justice,Documentaries,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.,100 years: one woman's fight justice documentaries documentary chronicle elouise cobell's long fight u.s. government gross mismanagement mineral-rich native american land.
s58,100% Halal,"Dramas, International Movies","After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.","100% halal dramas, international movies high school, young woman marries man father's choice soon face possibility religion considers union invalid."
s59,100% Hotter,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.","100% hotter british tv shows, international tv shows, reality tv stylist, hair designer makeup artist team give britain's biggest fashion disaster much-needed makeunders."
s60,1000 Rupee Note,"Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.","1000 rupee note dramas, international movies randomly receiving handsome political bribe, sweet, poor elderly woman decides treat shopping spree, go smoothly."
s61,12 ROUND GUN,"Dramas, Independent Movies, Sports Movies","Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.","12 round gun dramas, independent movies, sports movies dealing personal demon death son, prizefighter attempt return ring challenging rival 12-round rematch."
s62,12 Years Promise,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.","12 years promise international tv shows, korean tv shows, romantic tv shows pregnant teen forced family leave boyfriend assume new identity america, 12 year later, couple reunites korea."
s63,13 Cameras,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.","13 cameras horror movies, independent movies, thrillers young parents-to-be claire ryan move suburban rental home, unaware someone secretly watching every move via hidden cameras."
s64,13 Reasons Why,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.","13 reasons crime tv shows, tv dramas, tv mysteries teenage girl's perplexing suicide, classmate receives series tape unravel mystery tragic choice."
s65,13 Reasons Why: Beyond the Reasons,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""","13 reasons why: beyond reasons crime tv shows, docuseries cast members, writers, producer mental health professional discus difficult issue theme explored ""13 reasons why."""
s66,13 Sins,"Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.","13 sins horror movies, thrillers man agrees appear game show $6 million prize. challenge become extreme, realizes he's made grave mistake."
s67,13TH,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.","13th documentaries thought-provoking documentary, scholars, activist politician analyze criminalization african americans u.s. prison boom."
s68,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,Movies,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.","13th: conversation oprah winfrey ava duvernay movies oprah winfrey sits director ava duvernay discus oscar-nominated film, historical cycle oppression broken prison system."
s69,14 Blades,"Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.","14 blades action adventure, international movies age ming dynasty, quinglong best jinyiwei, elite assassin squad made highly trained former street urchins. evil eunuch jia unseats emperor, quinglong called action quickly betrayed."
s70,14 Cameras,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.","14 cameras horror movies, thrillers upping “13 cameras” ante, sequel find family renting vacation house that’s customized violate privacy."
s71,14 Minutes from Earth,Documentaries,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,14 minutes earth documentaries google executive boldly attempt death-defying mission travel space free-fall back earth without rocket.
s72,16 Blocks,Action & Adventure,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.","16 blocks action adventure tasked escorting prosecution witness court, aging cop gear 16-block trek – they'll lucky make alive."
s73,17 Again,Comedies,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.","17 comedies nearing midlife crisis, thirty-something mike wish ""do-over"" – that's exactly get wake find he's 17 again."
s74,18 Presents,"Dramas, Independent Movies, International Movies",A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,"18 presents dramas, independent movies, international movies pregnant mother terminal cancer leaf behind 18 sentimental gift unborn daughter receive every birthday reach womanhood."
